user_id,emotion,another_emotions,people,note,day
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,['proud'],[],,2025-09-20
172072ae-906b-4aec-a9a2-e3ae6ad0d215,very_happy,[],[],,2025-09-20
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_sad,[],[],,2025-09-19
2c4f683a-521d-48cc-b1f5-284c28982b7e,sad,[],[],,2025-09-18
2c4f683a-521d-48cc-b1f5-284c28982b7e,neutral,[],[],,2025-09-17
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_sad,[],[],,2025-09-21
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,[],[],,2025-09-22
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,[],[],,2025-09-23
2c4f683a-521d-48cc-b1f5-284c28982b7e,happy,[],[],,2025-09-24
2c4f683a-521d-48cc-b1f5-284c28982b7e,sad,[],[],,2025-09-26
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,[],[],,2025-09-02
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,[],[],,2025-09-03
2c4f683a-521d-48cc-b1f5-284c28982b7e,happy,[],[],,2025-09-04
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_sad,[],[],,2025-09-05
2c4f683a-521d-48cc-b1f5-284c28982b7e,sad,[],[],,2025-09-06
2c4f683a-521d-48cc-b1f5-284c28982b7e,neutral,[],[],,2025-09-07
2c4f683a-521d-48cc-b1f5-284c28982b7e,happy,[],[],,2025-09-08
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,[],[],,2025-09-09
2c4f683a-521d-48cc-b1f5-284c28982b7e,happy,[],[],,2025-09-10
2c4f683a-521d-48cc-b1f5-284c28982b7e,sad,[],[],,2025-09-11
2c4f683a-521d-48cc-b1f5-284c28982b7e,neutral,[],[],,2025-09-13
2c4f683a-521d-48cc-b1f5-284c28982b7e,neutral,[],[],,2025-09-12
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_sad,[],[],,2025-09-14
2c4f683a-521d-48cc-b1f5-284c28982b7e,happy,[],[],,2025-09-15
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,[],[],,2025-09-16
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,[],[],,2025-09-27
2c4f683a-521d-48cc-b1f5-284c28982b7e,neutral,[],[],,2025-09-01
2c4f683a-521d-48cc-b1f5-284c28982b7e,neutral,[],[],,2025-09-25
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,[],[],,2025-10-01
2c4f683a-521d-48cc-b1f5-284c28982b7e,happy,[],[],,2025-10-02
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,['excited'],['stranger'],Hehe,2025-10-03
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,[],[],,2025-09-30
2c4f683a-521d-48cc-b1f5-284c28982b7e,happy,['proud'],['family'],,2025-10-04
2c4f683a-521d-48cc-b1f5-284c28982b7e,neutral,[],[],,2025-10-06
2c4f683a-521d-48cc-b1f5-284c28982b7e,very_happy,[],[],,2025-10-07
2c4f683a-521d-48cc-b1f5-284c28982b7e,happy,[],[],,2025-10-05
2c4f683a-521d-48cc-b1f5-284c28982b7e,neutral,[],[],,2025-10-10
2c4f683a-521d-48cc-b1f5-284c28982b7e,happy,[],[],,2025-10-11
2c4f683a-521d-48cc-b1f5-284c28982b7e,happy,['relaxed'],['friends'],New in csv file,2025-10-18
